SubjectID TrialNum Amplitude Width StartPos TargetPos Time Success CursorPos (x, y)
13 1 555 100 (869,508) (360,286) 1526 1 (351,285)
13 1 555 100 (869,508) (360,286) 1541 1 (348,283)
13 1 555 100 (869,508) (360,286) 1561 1 (341,281)
13 1 555 100 (869,508) (360,286) 1581 1 (339,280)
13 1 555 100 (869,508) (360,286) 1589 1 (336,280)
13 1 555 100 (869,508) (360,286) 1609 1 (329,277)
13 1 555 100 (869,508) (360,286) 1619 1 (324,275)
13 1 555 100 (869,508) (360,286) 1635 1 (318,274)
13 1 555 100 (869,508) (360,286) 1655 1 (313,272)
13 1 555 100 (869,508) (360,286) 1683 1 (305,269)
13 1 555 100 (869,508) (360,286) 1702 1 (305,269)
13 1 555 100 (869,508) (360,286) 1712 1 (305,269)
13 1 555 100 (869,508) (360,286) 1728 1 (305,269)
13 1 555 100 (869,508) (360,286) 1748 1 (305,269)
13 1 555 100 (869,508) (360,286) 1768 1 (305,269)
13 1 555 100 (869,508) (360,286) 1796 1 (308,269)
13 1 555 100 (869,508) (360,286) 1806 1 (311,269)
13 1 555 100 (869,508) (360,286) 1823 1 (316,272)
13 1 555 100 (869,508) (360,286) 1843 1 (345,285)
13 1 555 100 (869,508) (360,286) 1862 1 (368,296)
13 1 555 100 (869,508) (360,286) 1869 1 (368,296)
13 1 555 100 (869,508) (360,286) 1888 1 (376,299)
13 1 555 100 (869,508) (360,286) 1900 1 (378,299)
13 1 555 100 (869,508) (360,286) 1916 1 (379,299)
13 1 555 100 (869,508) (360,286) 1936 1 (379,299)
13 1 555 100 (869,508) (360,286) 1946 1 (379,299)
13 1 555 100 (869,508) (360,286) 1963 1 (379,299)
13 1 555 100 (869,508) (360,286) 1982 1 (379,299)
13 1 555 100 (869,508) (360,286) 2002 1 (379,299)
13 1 555 100 (869,508) (360,286) 2010 1 (379,299)
13 1 555 100 (869,508) (360,286) 2030 1 (379,299)
13 1 555 100 (869,508) (360,286) 2040 1 (379,299)
13 1 555 100 (869,508) (360,286) 2057 1 (379,299)
13 1 555 100 (869,508) (360,286) 2076 1 (379,299)
13 1 555 100 (869,508) (360,286) 2096 1 (379,299)
13 1 555 100 (869,508) (360,286) 2102 1 (379,299)
13 1 555 100 (869,508) (360,286) 2122 1 (379,299)
13 1 555 100 (869,508) (360,286) 2142 1 (379,299)
13 1 555 100 (869,508) (360,286) 2150 1 (379,299)
13 1 555 100 (869,508) (360,286) 2165 1 (379,299)
13 1 555 100 (869,508) (360,286) 2185 1 (379,299)
13 1 555 100 (869,508) (360,286) 2196 1 (379,299)
